Sender,Subject,Message,Label
Andrew Jacobs Promotions,Get rich quick with this trick,Win big with our online lottery. Sign up now!,spam
Russell Martinez Promotions,Get rich quick with this trick,You've been chosen for a $1000 gift card. Claim it now!,spam
Williams and Sons,Traditional you vote whose our security animal.,People few house he whose nice oil. College manage fund life bed.,ham
Tony Burns Promotions,You've won the lottery!,Win big with our online lottery. Sign up now!,spam
Wendy Richards Promotions,You’ve been selected for a special reward,Upgrade your account to premium and enjoy unlimited benefits.,spam
Sarah Harmon Promotions,Get rich quick with this trick,Win big with our online lottery. Sign up now!,spam
Allison Jones Promotions,You've won the lottery!,Click here to win big prizes instantly. Limited time offer!,spam
Thomas Young Promotions,Congratulations! You've won a free iPhone,Act now! Your free reward is waiting. Confirm your details.,spam
Richard Silva Promotions,Don't miss this exclusive deal,Act now! Your free reward is waiting. Confirm your details.,spam
Silva Inc,Short Congress turn east marriage behind forget.,Hour opportunity week student. Ahead least remain look.,ham
Robert Murray Promotions,You’ve been selected for a special reward,Click the link below to boost your credit score immediately.,spam
Kimberly Logan Promotions,Get rich quick with this trick,Click the link below to boost your credit score immediately.,spam
Robert West Promotions,You've won the lottery!,Exclusive offer just for you. Don’t miss this chance!,spam
Joshua Ross Promotions,Don't miss this exclusive deal,You've been chosen for a $1000 gift card. Claim it now!,spam
Hardy PLC,Occur college herself catch feeling.,As itself inside machine. Guess want result many. Crime blood fight we forward per sound forget.,ham
Reid-Vargas,Include political design economy general drive according three.,Senior ask artist general run. Sense involve purpose together knowledge with purpose five.,ham
Christopher Davis Promotions,Congratulations! You've won a free iPhone,Exclusive offer just for you. Don’t miss this chance!,spam
Danielle Costa Promotions,You’ve been selected for a special reward,Win big with our online lottery. Sign up now!,spam
Daniel Smith Promotions,Don't miss this exclusive deal,"Dear user, your account has been suspended. Verify now.",spam
"Fields, Gonzales and Lopez",Discover along employee.,Break time manager kid writer night. Manage suffer term buy behavior test Congress. Seek state none production.,ham
"Gutierrez, Martin and Lee",Similar writer structure ahead up rock forward behind.,Red rate source high listen suggest consumer. Great religious these matter continue. Customer goal positive bank later behind.,ham
Kathryn Franklin Promotions,Get rich quick with this trick,You've been chosen for a $1000 gift card. Claim it now!,spam
"Montgomery, Reynolds and Barber",Generation put his stuff next write approach.,Support system thank avoid man drive wife. Medical nearly her.,ham
Murphy PLC,No situation what machine fire third customer.,Painting fast art those model mean eat heavy. Fear daughter fast.,ham
Smith-King,Property decade safe order at sense cell.,Share southern week drug. Position hospital cover strong. Difficult we cell husband.,ham
Jessica Foley Promotions,Boost your credit score instantly,Work from home and earn in dollars daily. No experience needed!,spam
"Bryant, Williams and Lynch",Everyone sea safe true town car few.,During seven local better think. Five plant cultural.,ham
Wolf Group,Despite interesting save president easy themselves allow.,Television beautiful tend bring speech decide. Ready technology particular into pattern size spend south.,ham
Edwards Inc,Seek perhaps ball make owner through.,Last since social everybody. Hair sing listen development.,ham
Deborah Young Promotions,Get rich quick with this trick,"Dear user, your account has been suspended. Verify now.",spam
King-Gilbert,Tax add born company option.,Have compare site door Congress month almost. Whose other start study.,ham
Wilson-Gibson,Choose like policy floor all over herself.,Without degree deep age serve institution. Player base attorney if fear. The modern prove else store begin top.,ham
"Johnson, Leonard and Robinson",Student specific political.,Real know our any help cut. Hear draw before instead writer.,ham
Jenny Nolan Promotions,Congratulations! You've won a free iPhone,Work from home and earn in dollars daily. No experience needed!,spam
"Murillo, Ramos and Gomez",Nearly you suddenly include plan step.,Drive nation heart nearly season growth laugh where. Risk work other. Career three according worker Democrat fire sign.,ham
Nathaniel Ford Promotions,Don't miss this exclusive deal,Click the link below to boost your credit score immediately.,spam
Diana Rivera Promotions,Urgent: Account suspended,Congratulations! You are the lucky winner of a free trip to Dubai!,spam
Jodi Brandt Promotions,You’ve been selected for a special reward,Upgrade your account to premium and enjoy unlimited benefits.,spam
Martinez-Dunlap,Collection off start.,Ahead raise common Democrat cost evidence third. Pass pay positive. Include nearly article evidence case current this.,ham
Martinez-Gould,Know season science.,Land human day. Opportunity by wide medical official might. Series build major painting.,ham
Robert Doyle Promotions,Don't miss this exclusive deal,Act now! Your free reward is waiting. Confirm your details.,spam
Sharon Morris Promotions,Click now to claim your prize!,Work from home and earn in dollars daily. No experience needed!,spam
Kevin Werner Promotions,Get rich quick with this trick,Work from home and earn in dollars daily. No experience needed!,spam
Brittany Lin Promotions,Earn $1000 a day from home,Upgrade your account to premium and enjoy unlimited benefits.,spam
Dunn and Sons,Opportunity grow put its entire situation.,Her imagine authority stop address loss international. Short southern finish front. Edge court environment must.,ham
"Sellers, Sanchez and Williams",High someone box either rich agency.,Method meet main fast prepare fly. Way cold what Mrs. Phone decision picture.,ham
Keith Oconnor Promotions,You’ve been selected for a special reward,Click here to win big prizes instantly. Limited time offer!,spam
Rachel Mcdaniel Promotions,Earn $1000 a day from home,Click here to win big prizes instantly. Limited time offer!,spam
Melanie Young Promotions,"Limited time offer, act now!","Dear user, your account has been suspended. Verify now.",spam
Mrs. Susan Christian Promotions,Urgent: Account suspended,"Dear user, your account has been suspended. Verify now.",spam
Lisa Reynolds Promotions,Don't miss this exclusive deal,"Dear user, your account has been suspended. Verify now.",spam
"Powell, Monroe and Caldwell",Cover seven challenge entire.,And part read important play success. Find night brother.,ham
